"date","location","new_cases","new_deaths","total_cases","total_deaths","percentage_cases_growth","days_since_100"
2020-02-25,"Afghanistan",0,0,1,0,0,0
2020-02-26,"Afghanistan",0,0,1,0,0,0
2020-02-27,"Afghanistan",0,0,1,0,0,0
2020-02-28,"Afghanistan",0,0,1,0,0,0
2020-02-29,"Afghanistan",0,0,1,0,0,0
2020-03-01,"Afghanistan",0,0,1,0,0,0
2020-03-02,"Afghanistan",0,0,1,0,0,0
2020-03-03,"Afghanistan",0,0,1,0,0,0
2020-03-04,"Afghanistan",0,0,1,0,0,0
2020-03-05,"Afghanistan",0,0,1,0,0,0
2020-03-06,"Afghanistan",0,0,1,0,0,0
2020-03-07,"Afghanistan",0,0,1,0,0,0
2020-03-08,"Afghanistan",3,0,4,0,3,0
2020-03-09,"Afghanistan",0,0,4,0,0,0
2020-03-10,"Afghanistan",0,0,4,0,0,0
2020-03-11,"Afghanistan",0,0,4,0,0,0
2020-03-12,"Afghanistan",3,0,7,0,0.75,0
2020-03-13,"Afghanistan",0,0,7,0,0,0
2020-03-14,"Afghanistan",0,0,7,0,0,0
2020-03-15,"Afghanistan",3,0,10,0,0.428571428571429,0
2020-03-16,"Afghanistan",6,0,16,0,0.6,0
2020-03-09,"Albania",0,0,2,0,0,0
2020-03-10,"Albania",0,0,2,0,0,0
2020-03-11,"Albania",8,0,10,0,4,0
2020-03-12,"Albania",0,0,10,0,0,0
2020-03-13,"Albania",13,0,23,0,1.3,0
2020-03-14,"Albania",10,0,33,1,0.434782608695652,0
2020-03-15,"Albania",5,0,38,1,0.151515151515152,0
2020-03-16,"Albania",4,0,42,1,0.105263157894737,0
2020-02-26,"Algeria",0,0,1,0,0,0
2020-02-27,"Algeria",0,0,1,0,0,0
2020-02-28,"Algeria",0,0,1,0,0,0
2020-02-29,"Algeria",0,0,1,0,0,0
2020-03-01,"Algeria",0,0,1,0,0,0
2020-03-02,"Algeria",0,0,1,0,0,0
2020-03-03,"Algeria",4,0,5,0,4,0
2020-03-04,"Algeria",0,0,5,0,0,0
2020-03-05,"Algeria",7,0,12,0,1.4,0
2020-03-06,"Algeria",0,0,12,0,0,0
2020-03-07,"Algeria",5,0,17,0,0.416666666666667,0
2020-03-08,"Algeria",0,0,17,0,0,0
2020-03-09,"Algeria",3,0,20,0,0.176470588235294,0
2020-03-10,"Algeria",0,0,20,0,0,0
2020-03-11,"Algeria",0,0,20,0,0,0
2020-03-12,"Algeria",5,0,25,1,0.25,0
2020-03-13,"Algeria",0,0,25,1,0,0
2020-03-14,"Algeria",1,1,26,2,0.04,0
2020-03-15,"Algeria",11,1,37,3,0.423076923076923,0
2020-03-16,"Algeria",12,0,49,3,0.324324324324324,0
2020-03-03,"Andorra",0,0,1,0,0,0
2020-03-04,"Andorra",0,0,1,0,0,0
2020-03-05,"Andorra",0,0,1,0,0,0
2020-03-06,"Andorra",0,0,1,0,0,0
2020-03-07,"Andorra",0,0,1,0,0,0
2020-03-08,"Andorra",0,0,1,0,0,0
2020-03-09,"Andorra",0,0,1,0,0,0
2020-03-10,"Andorra",0,0,1,0,0,0
2020-03-11,"Andorra",0,0,1,0,0,0
2020-03-12,"Andorra",0,0,1,0,0,0
2020-03-13,"Andorra",0,0,1,0,0,0
2020-03-14,"Andorra",1,0,2,0,1,0
2020-03-15,"Andorra",0,0,2,0,0,0
2020-03-16,"Andorra",0,0,2,0,0,0
2020-03-14,"Antigua and Barbuda",0,0,1,0,0,0
2020-03-15,"Antigua and Barbuda",0,0,1,0,0,0
2020-03-16,"Antigua and Barbuda",0,0,1,0,0,0
2020-03-04,"Argentina",0,0,1,0,0,0
2020-03-05,"Argentina",0,0,1,0,0,0
2020-03-06,"Argentina",0,0,1,0,0,0
2020-03-07,"Argentina",1,0,2,0,1,0
2020-03-08,"Argentina",7,0,9,1,3.5,0
2020-03-09,"Argentina",3,0,12,1,0.333333333333333,0
2020-03-10,"Argentina",0,0,12,1,0,0
2020-03-11,"Argentina",5,0,17,1,0.416666666666667,0
2020-03-12,"Argentina",2,0,19,1,0.117647058823529,0
2020-03-13,"Argentina",12,0,31,1,0.631578947368421,0
2020-03-14,"Argentina",3,1,34,2,0.0967741935483871,0
2020-03-15,"Argentina",11,0,45,2,0.323529411764706,0
2020-03-16,"Argentina",11,0,56,2,0.244444444444444,0
2020-03-02,"Armenia",0,0,1,0,0,0
2020-03-03,"Armenia",0,0,1,0,0,0
2020-03-04,"Armenia",0,0,1,0,0,0
2020-03-05,"Armenia",0,0,1,0,0,0
2020-03-06,"Armenia",0,0,1,0,0,0
2020-03-07,"Armenia",0,0,1,0,0,0
2020-03-08,"Armenia",0,0,1,0,0,0
2020-03-09,"Armenia",0,0,1,0,0,0
2020-03-10,"Armenia",0,0,1,0,0,0
2020-03-11,"Armenia",0,0,1,0,0,0
